rank,player,avg,total_distance,total_drives,tournament
38,Hideki Matsuyama,307.9,"2,463",8,U.S. Open
39,Tommy Fleetwood,307.5,"2,460",8,U.S. Open
39,Sergio Garcia,307.5,"2,460",8,U.S. Open
39,Adam Scott,307.5,"2,460",8,U.S. Open
42,Thomas Detry,307.1,"2,457",8,U.S. Open
43,Justin Lower,306.8,"2,454",8,U.S. Open
44,Matthieu Pavon,306.5,"2,452",8,U.S. Open
44,Adam Svensson,306.5,"2,452",8,U.S. Open
46,Akshay Bhatia,306.4,"2,451",8,U.S. Open
46,Denny McCarthy,306.4,"2,451",8,U.S. Open
48,Sepp Straka,306.3,"2,450",8,U.S. Open
49,Frankie Capan III,306.1,"2,449",8,U.S. Open
49,Billy Horschel,306.1,"2,449",8,U.S. Open
51,Tom McKibbin,305.9,"2,447",8,U.S. Open
52,Brian Harman,305.3,"2,442",8,U.S. Open
53,Si Woo Kim,304.3,"2,434",8,U.S. Open
54,Martin Kaymer,304.1,"2,433",8,U.S. Open
55,Daniel Berger,303.3,"2,426",8,U.S. Open
56,Russell Henley,303.1,"2,425",8,U.S. Open
57,Chris Kirk,302.3,"2,418",8,U.S. Open
57,Shane Lowry,302.3,"2,418",8,U.S. Open
59,Cameron Smith,302.0,"2,416",8,U.S. Open
59,Brandon Wu,302.0,"2,416",8,U.S. Open
61,Austin Eckroat,300.4,"2,403",8,U.S. Open
62,Mark Hubbard,299.1,"2,393",8,U.S. Open
63,Sam Bennett,298.8,"2,390",8,U.S. Open
64,Emiliano Grillo,298.5,"2,388",8,U.S. Open
65,Sahith Theegala,297.9,"2,383",8,U.S. Open
66,Greyson Sigg,297.5,"2,380",8,U.S. Open
67,Christiaan Bezuidenhout,296.8,"2,374",8,U.S. Open
68,Matt Kuchar,296.5,"2,372",8,U.S. Open
69,Francesco Molinari,294.0,"2,352",8,U.S. Open
70,Ben Kohles,293.9,"2,351",8,U.S. Open
70,Aaron Rai,293.9,"2,351",8,U.S. Open
72,Zac Blair,287.9,"2,303",8,U.S. Open
73,Brian Campbell,286.0,"2,288",8,U.S. Open
74,Brendon Todd,283.8,"2,270",8,U.S. Open
1,Rory McIlroy,310.6,"2,485",8,the Memorial Tournament presented by Workday
2,Byeong Hun An,308.5,"2,468",8,the Memorial Tournament presented by Workday
3,Nick Dunlap,304.8,"2,438",8,the Memorial Tournament presented by Workday
4,Cameron Young,304.5,"2,436",8,the Memorial Tournament presented by Workday
5,Xander Schauffele,303.3,"2,426",8,the Memorial Tournament presented by Workday
6,Davis Thompson,302.9,"2,423",8,the Memorial Tournament presented by Workday
7,Taylor Pendrith,300.9,"2,407",8,the Memorial Tournament presented by Workday
8,Will Zalatoris,300.4,"2,403",8,the Memorial Tournament presented by Workday
9,Tony Finau,299.6,"2,397",8,the Memorial Tournament presented by Workday
10,Justin Thomas,298.8,"2,390",8,the Memorial Tournament presented by Workday
11,Ludvig Åberg,298.3,"2,386",8,the Memorial Tournament presented by Workday
12,Sahith Theegala,297.5,"2,380",8,the Memorial Tournament presented by Workday
13,Keegan Bradley,297.1,"2,377",8,the Memorial Tournament presented by Workday
14,Shane Lowry,296.4,"2,371",8,the Memorial Tournament presented by Workday
15,Peter Malnati,293.4,"2,347",8,the Memorial Tournament presented by Workday
16,Scottie Scheffler,292.9,"2,343",8,the Memorial Tournament presented by Workday
17,Tom Kim,292.8,"2,342",8,the Memorial Tournament presented by Workday
18,Akshay Bhatia,292.5,"2,340",8,the Memorial Tournament presented by Workday
19,Billy Horschel,291.8,"2,334",8,the Memorial Tournament presented by Workday
20,Cam Davis,291.6,"2,333",8,the Memorial Tournament presented by Workday
21,Viktor Hovland,291.4,"2,331",8,the Memorial Tournament presented by Workday
22,Victor Perez,290.9,"2,327",8,the Memorial Tournament presented by Workday
23,Sam Burns,290.5,"2,324",8,the Memorial Tournament presented by Workday
23,Thomas Detry,290.5,"2,324",8,the Memorial Tournament presented by Workday
23,Austin Eckroat,290.5,"2,324",8,the Memorial Tournament presented by Workday
,Field Average,290.1,,,the Memorial Tournament presented by Workday
26,Matt Fitzpatrick,288.0,"2,304",8,the Memorial Tournament presented by Workday
27,Corey Conners,287.9,"2,303",8,the Memorial Tournament presented by Workday
27,Max Homa,287.9,"2,303",8,the Memorial Tournament presented by Workday
29,Tom Hoge,287.8,"2,302",8,the Memorial Tournament presented by Workday
29,Hideki Matsuyama,287.8,"2,302",8,the Memorial Tournament presented by Workday
29,Seamus Power,287.8,"2,302",8,the Memorial Tournament presented by Workday
32,Jason Day,287.6,"2,301",8,the Memorial Tournament presented by Workday
33,Tommy Fleetwood,287.5,"2,300",8,the Memorial Tournament presented by Workday
34,Emiliano Grillo,287.3,"2,298",8,the Memorial Tournament presented by Workday
35,Sungjae Im,286.6,"2,293",8,the Memorial Tournament presented by Workday
36,Adam Hadwin,285.8,"2,286",8,the Memorial Tournament presented by Workday
37,Collin Morikawa,285.4,"2,283",8,the Memorial Tournament presented by Workday
38,Eric Cole,284.5,"2,276",8,the Memorial Tournament presented by Workday
39,J.T. Poston,284.4,"2,275",8,the Memorial Tournament presented by Workday
40,Adam Svensson,284.3,"2,274",8,the Memorial Tournament presented by Workday
41,Si Woo Kim,283.3,"2,266",8,the Memorial Tournament presented by Workday
42,Christiaan Bezuidenhout,283.1,"2,265",8,the Memorial Tournament presented by Workday
43,Jackson Koivun,283.0,"2,264",8,the Memorial Tournament presented by Workday
44,Lee Hodges,282.6,"2,261",8,the Memorial Tournament presented by Workday
45,Sepp Straka,282.0,"2,256",8,the Memorial Tournament presented by Workday
46,Matt Kuchar,281.0,"2,248",8,the Memorial Tournament presented by Workday
47,Denny McCarthy,280.9,"2,247",8,the Memorial Tournament presented by Workday
48,Alex Noren,280.5,"2,244",8,the Memorial Tournament presented by Workday
49,Brian Harman,279.5,"2,236",8,the Memorial Tournament presented by Workday
50,Russell Henley,278.4,"2,227",8,the Memorial Tournament presented by Workday
51,Nick Taylor,278.1,"2,225",8,the Memorial Tournament presented by Workday
52,Andrew Putnam,273.4,"2,187",8,the Memorial Tournament presented by Workday
1,Rory McIlroy,324.3,"2,594",8,RBC Canadian Open
2,Kevin Yu,322.9,"2,583",8,RBC Canadian Open
3,Keith Mitchell,321.6,"2,573",8,RBC Canadian Open
4,Ryan Fox,320.6,"2,565",8,RBC Canadian Open
5,Sam Burns,320.1,"2,561",8,RBC Canadian Open
5,Gary Woodland,320.1,"2,561",8,RBC Canadian Open
7,Jhonattan Vegas,318.6,"2,549",8,RBC Canadian Open
8,Pierceson Coody,316.5,"2,532",8,RBC Canadian Open
9,Kevin Tway,314.1,"2,513",8,RBC Canadian Open
10,David Skinns,312.8,"2,502",8,RBC Canadian Open
11,Maverick McNealy,312.6,"2,501",8,RBC Canadian Open
12,Adam Scott,312.5,"2,500",8,RBC Canadian Open
13,Robert MacIntyre,312.3,"2,498",8,RBC Canadian Open
14,Vince Whaley,312.0,"2,496",8,RBC Canadian Open
15,Thorbjørn Olesen,311.5,"2,492",8,RBC Canadian Open
16,Vincent Norrman,311.1,"2,489",8,RBC Canadian Open
16,Taylor Pendrith,311.1,"2,489",8,RBC Canadian Open
18,Lanto Griffin,310.8,"2,486",8,RBC Canadian Open
18,Sam Stevens,310.8,"2,486",8,RBC Canadian Open
20,Joseph Bramlett,310.4,"2,483",8,RBC Canadian Open
21,Trace Crowe,309.8,"2,478",8,RBC Canadian Open
22,Erik van Rooyen,309.4,"2,475",8,RBC Canadian Open
23,Jacob Bridgeman,309.3,"2,474",8,RBC Canadian Open
23,Carson Young,309.3,"2,474",8,RBC Canadian Open
25,Andrew Novak,309.0,"2,472",8,RBC Canadian Open
26,Nicolai Højgaard,308.8,"2,470",8,RBC Canadian Open
27,Tommy Fleetwood,308.6,"2,469",8,RBC Canadian Open
28,Harry Hall,308.0,"2,464",8,RBC Canadian Open
29,Corey Conners,307.9,"2,463",8,RBC Canadian Open
30,Myles Creighton,307.6,"2,461",8,RBC Canadian Open
31,Ryan Palmer,306.9,"2,455",8,RBC Canadian Open
32,Sami Valimaki,306.5,"2,452",8,RBC Canadian Open
33,Matt Wallace,306.4,"2,451",8,RBC Canadian Open
,Field Average,306.0,,,RBC Canadian Open
34,Jorge Campillo,305.6,"2,445",8,RBC Canadian Open
34,Stewart Cink,305.6,"2,445",8,RBC Canadian Open
36,Mackenzie Hughes,305.4,"2,443",8,RBC Canadian Open
37,Adrien Dumont de Chassart,305.3,"2,442",8,RBC Canadian Open
38,Akshay Bhatia,305.1,"2,441",8,RBC Canadian Open
39,Aaron Rai,304.8,"2,438",8,RBC Canadian Open
40,Victor Perez,304.6,"2,437",8,RBC Canadian Open
41,Nick Hardy,304.4,"2,435",8,RBC Canadian Open
41,Michael Kim,304.4,"2,435",8,RBC Canadian Open
43,Tyler Duncan,304.1,"2,433",8,RBC Canadian Open
44,Adam Svensson,303.1,"2,425",8,RBC Canadian Open
45,Chesson Hadley,302.8,"2,422",8,RBC Canadian Open
46,Erik Barnes,301.5,"2,412",8,RBC Canadian Open
46,Joel Dahmen,301.5,"2,412",8,RBC Canadian Open
48,Sean O'Hair,301.4,"2,411",8,RBC Canadian Open
49,Ryo Hisatsune,300.9,"2,407",8,RBC Canadian Open
50,Ben Griffin,300.3,"2,402",8,RBC Canadian Open
51,Beau Hossler,300.0,"2,400",8,RBC Canadian Open
52,Tom Kim,299.8,"2,398",8,RBC Canadian Open
52,Chad Ramey,299.8,"2,398",8,RBC Canadian Open
54,Garrick Higgo,299.3,"2,394",8,RBC Canadian Open
54,Mac Meissner,299.3,"2,394",8,RBC Canadian Open
56,Kevin Streelman,299.1,"2,393",8,RBC Canadian Open
57,C.T. Pan,298.9,"2,391",8,RBC Canadian Open
58,Shane Lowry,298.4,"2,387",8,RBC Canadian Open
59,Wil Bateman,296.5,"2,372",8,RBC Canadian Open
60,Chandler Phillips,295.0,"2,360",8,RBC Canadian Open
61,Mark Hubbard,293.3,"2,346",8,RBC Canadian Open
62,Kelly Kraft,292.5,"2,340",8,RBC Canadian Open
63,Brandon Wu,292.4,"2,339",8,RBC Canadian Open
64,Ben Silverman,291.9,"2,335",8,RBC Canadian Open
65,Nate Lashley,290.3,"2,322",8,RBC Canadian Open
66,Ryan Moore,289.3,"2,314",8,RBC Canadian Open
67,Chez Reavie,288.6,"2,309",8,RBC Canadian Open
68,Zac Blair,286.1,"2,289",8,RBC Canadian Open
69,David Hearn,277.1,"2,217",8,RBC Canadian Open
1,Keith Mitchell,329.0,"2,632",8,Charles Schwab Challenge
2,Vincent Norrman,321.8,"2,574",8,Charles Schwab Challenge
3,Kevin Yu,321.3,"2,570",8,Charles Schwab Challenge
4,Kevin Tway,320.3,"2,562",8,Charles Schwab Challenge
5,Scottie Scheffler,320.1,"2,561",8,Charles Schwab Challenge
6,Gary Woodland,319.0,"2,552",8,Charles Schwab Challenge
7,Pierceson Coody,318.1,"2,545",8,Charles Schwab Challenge
8,Maverick McNealy,317.8,"2,542",8,Charles Schwab Challenge
9,Adam Scott,317.6,"2,541",8,Charles Schwab Challenge
10,Keegan Bradley,317.3,"2,538",8,Charles Schwab Challenge
11,Joseph Bramlett,316.1,"2,529",8,Charles Schwab Challenge
12,Min Woo Lee,315.9,"2,527",8,Charles Schwab Challenge
13,Collin Morikawa,315.4,"2,523",8,Charles Schwab Challenge
14,Davis Thompson,314.3,"2,514",8,Charles Schwab Challenge
15,Sungjae Im,313.4,"2,507",8,Charles Schwab Challenge
16,Rickie Fowler,313.0,"2,504",8,Charles Schwab Challenge
17,Jordan Spieth,312.9,"2,503",8,Charles Schwab Challenge
18,Davis Riley,312.6,"2,501",8,Charles Schwab Challenge
19,Callum Tarren,312.4,"2,499",8,Charles Schwab Challenge
20,Mac Meissner,312.0,"2,496",8,Charles Schwab Challenge
21,Cam Davis,311.8,"2,494",8,Charles Schwab Challenge
22,Peter Malnati,310.8,"2,486",8,Charles Schwab Challenge
23,Nick Hardy,310.6,"2,485",8,Charles Schwab Challenge
24,Ryan Fox,310.3,"2,482",8,Charles Schwab Challenge
25,Webb Simpson,309.4,"2,475",8,Charles Schwab Challenge
26,Charley Hoffman,308.6,"2,469",8,Charles Schwab Challenge
26,Tom Kim,308.6,"2,469",8,Charles Schwab Challenge
28,S.H. Kim,308.4,"2,467",8,Charles Schwab Challenge
29,Justin Rose,308.0,"2,464",8,Charles Schwab Challenge
30,Austin Smotherman,307.8,"2,462",8,Charles Schwab Challenge
31,Alejandro Tosti,307.5,"2,460",8,Charles Schwab Challenge
32,Mark Hubbard,307.3,"2,458",8,Charles Schwab Challenge
33,Patrick Rodgers,306.8,"2,454",8,Charles Schwab Challenge
34,Tony Finau,306.3,"2,450",8,Charles Schwab Challenge
35,Daniel Berger,305.4,"2,443",8,Charles Schwab Challenge
36,Parker Coody,304.8,"2,438",8,Charles Schwab Challenge
36,Ben Martin,304.8,"2,438",8,Charles Schwab Challenge
,Field Average,304.2,,,Charles Schwab Challenge
38,Si Woo Kim,303.6,"2,429",8,Charles Schwab Challenge
39,C.T. Pan,303.3,"2,426",8,Charles Schwab Challenge
40,Hayden Buckley,303.0,"2,424",8,Charles Schwab Challenge
41,Chandler Phillips,302.3,"2,418",8,Charles Schwab Challenge
42,Martin Laird,302.1,"2,417",8,Charles Schwab Challenge
43,Billy Horschel,301.8,"2,414",8,Charles Schwab Challenge
44,Victor Perez,301.1,"2,409",8,Charles Schwab Challenge
45,Christiaan Bezuidenhout,301.0,"2,408",8,Charles Schwab Challenge
46,Doug Ghim,300.6,"2,405",8,Charles Schwab Challenge
47,K.H. Lee,300.3,"2,402",8,Charles Schwab Challenge
48,Brian Harman,299.5,"2,396",8,Charles Schwab Challenge
49,Matt NeSmith,299.3,"2,394",8,Charles Schwab Challenge
49,Robby Shelton,299.3,"2,394",8,Charles Schwab Challenge
51,Adam Svensson,298.9,"2,391",8,Charles Schwab Challenge
52,Denny McCarthy,298.0,"2,384",8,Charles Schwab Challenge
53,Emiliano Grillo,297.9,"2,383",8,Charles Schwab Challenge
54,Joel Dahmen,297.5,"2,380",8,Charles Schwab Challenge
55,Ryan Moore,297.1,"2,377",8,Charles Schwab Challenge
55,Aaron Rai,297.1,"2,377",8,Charles Schwab Challenge
57,Sepp Straka,296.6,"2,373",8,Charles Schwab Challenge
58,Thomas Detry,296.4,"2,371",8,Charles Schwab Challenge
59,Lee Hodges,295.5,"2,364",8,Charles Schwab Challenge
60,Troy Merritt,295.1,"2,361",8,Charles Schwab Challenge
61,Tyler Duncan,294.3,"2,354",8,Charles Schwab Challenge
62,Lucas Glover,293.6,"2,349",8,Charles Schwab Challenge
63,Kevin Streelman,293.5,"2,348",8,Charles Schwab Challenge
64,David Lipsky,293.3,"2,346",8,Charles Schwab Challenge
65,Kevin Kisner,292.6,"2,341",8,Charles Schwab Challenge
66,J.T. Poston,292.3,"2,338",8,Charles Schwab Challenge
67,Zach Johnson,290.5,"2,324",8,Charles Schwab Challenge
68,Ben Silverman,289.8,"2,318",8,Charles Schwab Challenge
69,Matt Kuchar,288.9,"2,311",8,Charles Schwab Challenge
70,Tom Hoge,288.6,"2,309",8,Charles Schwab Challenge
71,Brendon Todd,282.4,"2,259",8,Charles Schwab Challenge
1,Bryson DeChambeau,330.5,"2,644",8,PGA Championship
2,Dean Burmester,324.8,"2,598",8,PGA Championship
3,Rory McIlroy,323.5,"2,588",8,PGA Championship
4,Byeong Hun An,321.5,"2,572",8,PGA Championship
5,Joaquin Niemann,317.3,"2,538",8,PGA Championship
6,Min Woo Lee,316.1,"2,529",8,PGA Championship
7,Robert MacIntyre,314.5,"2,516",8,PGA Championship
8,Jesper Svensson,313.8,"2,510",8,PGA Championship
9,Tony Finau,311.3,"2,490",8,PGA Championship
10,Nicolai Højgaard,311.1,"2,489",8,PGA Championship
10,Jordan Spieth,311.1,"2,489",8,PGA Championship
10,Alejandro Tosti,311.1,"2,489",8,PGA Championship
13,Kurt Kitayama,310.8,"2,486",8,PGA Championship
14,Justin Thomas,310.1,"2,481",8,PGA Championship
15,Xander Schauffele,310.0,"2,480",8,PGA Championship
16,Matt Wallace,308.8,"2,470",8,PGA Championship
17,Rasmus Højgaard,308.5,"2,468",8,PGA Championship
18,Keegan Bradley,308.0,"2,464",8,PGA Championship
19,Gary Woodland,307.9,"2,463",8,PGA Championship
20,Taylor Moore,307.8,"2,462",8,PGA Championship
21,Thorbjørn Olesen,306.9,"2,455",8,PGA Championship
22,Scottie Scheffler,306.6,"2,453",8,PGA Championship
23,Thomas Detry,305.8,"2,446",8,PGA Championship
24,Stephan Jaeger,305.6,"2,445",8,PGA Championship
25,Brooks Koepka,305.5,"2,444",8,PGA Championship
26,Will Zalatoris,304.8,"2,438",8,PGA Championship
27,Ryan Fox,304.5,"2,436",8,PGA Championship
27,Tyrrell Hatton,304.5,"2,436",8,PGA Championship
27,Cameron Young,304.5,"2,436",8,PGA Championship
30,Sahith Theegala,304.0,"2,432",8,PGA Championship
31,Shane Lowry,303.8,"2,430",8,PGA Championship
32,Grayson Murray,303.3,"2,426",8,PGA Championship
33,Viktor Hovland,303.1,"2,425",8,PGA Championship
34,Lucas Herbert,302.5,"2,420",8,PGA Championship
35,Max Homa,302.1,"2,417",8,PGA Championship
36,Patrick Cantlay,302.0,"2,416",8,PGA Championship
36,Harris English,302.0,"2,416",8,PGA Championship
38,Rickie Fowler,301.4,"2,411",8,PGA Championship
38,Maverick McNealy,301.4,"2,411",8,PGA Championship
38,Erik van Rooyen,301.4,"2,411",8,PGA Championship
41,Justin Rose,300.3,"2,402",8,PGA Championship
42,Tommy Fleetwood,299.3,"2,394",8,PGA Championship
43,S.H. Kim,299.1,"2,393",8,PGA Championship
44,Cameron Smith,299.0,"2,392",8,PGA Championship
45,Jeremy Wells,298.8,"2,390",8,PGA Championship
46,Corey Conners,298.3,"2,386",8,PGA Championship
46,Jason Day,298.3,"2,386",8,PGA Championship
,Field Average,297.2,,,PGA Championship
48,Doug Ghim,296.3,"2,370",8,PGA Championship
49,Braden Shattuck,295.9,"2,367",8,PGA Championship
50,Adam Svensson,295.8,"2,366",8,PGA Championship
51,Austin Eckroat,295.5,"2,364",8,PGA Championship
52,Mark Hubbard,295.3,"2,362",8,PGA Championship
53,Billy Horschel,295.0,"2,360",8,PGA Championship
54,Tom Hoge,294.9,"2,359",8,PGA Championship
55,Tom Kim,294.6,"2,357",8,PGA Championship
56,Collin Morikawa,294.3,"2,354",8,PGA Championship
57,Lee Hodges,293.8,"2,350",8,PGA Championship
58,Dustin Johnson,293.6,"2,349",8,PGA Championship
59,Hideki Matsuyama,293.1,"2,345",8,PGA Championship
60,Jordan Smith,292.8,"2,342",8,PGA Championship
61,Ryo Hisatsune,291.0,"2,328",8,PGA Championship
62,Brice Garnett,289.8,"2,318",8,PGA Championship
63,Martin Kaymer,289.4,"2,315",8,PGA Championship
63,Alex Noren,289.4,"2,315",8,PGA Championship
65,Brian Harman,289.0,"2,312",8,PGA Championship
66,Ben Kohles,288.9,"2,311",8,PGA Championship
67,Sebastian Soderberg,288.6,"2,309",8,PGA Championship
68,Lucas Glover,288.1,"2,305",8,PGA Championship
69,Russell Henley,286.9,"2,295",8,PGA Championship
70,Patrick Reed,285.8,"2,286",8,PGA Championship
71,Adam Hadwin,285.3,"2,282",8,PGA Championship
72,Aaron Rai,285.1,"2,281",8,PGA Championship
73,Andrew Putnam,282.4,"2,259",8,PGA Championship
74,Talor Gooch,282.1,"2,257",8,PGA Championship
75,Zac Blair,279.0,"2,232",8,PGA Championship
76,Luke Donald,278.8,"2,230",8,PGA Championship
77,Brendon Todd,274.1,"2,193",8,PGA Championship
78,Alexander Björk,271.8,"2,174",8,PGA Championship
1,Rory McIlroy,336.9,"2,695",8,Wells Fargo Championship
2,Cameron Young,330.9,"2,647",8,Wells Fargo Championship
3,Stephan Jaeger,327.0,"2,616",8,Wells Fargo Championship
4,Wyndham Clark,326.0,"2,608",8,Wells Fargo Championship
5,Tony Finau,325.5,"2,604",8,Wells Fargo Championship
6,Byeong Hun An,324.3,"2,594",8,Wells Fargo Championship
7,Taylor Moore,324.1,"2,593",8,Wells Fargo Championship
8,Justin Thomas,320.1,"2,561",8,Wells Fargo Championship
9,Kurt Kitayama,318.1,"2,545",8,Wells Fargo Championship
10,Gary Woodland,317.8,"2,542",8,Wells Fargo Championship
11,Xander Schauffele,317.5,"2,540",8,Wells Fargo Championship
12,Max Homa,317.3,"2,538",8,Wells Fargo Championship
13,Sam Burns,316.6,"2,533",8,Wells Fargo Championship
13,Patrick Rodgers,316.6,"2,533",8,Wells Fargo Championship
15,Jordan Spieth,316.0,"2,528",8,Wells Fargo Championship
16,Nick Dunlap,315.6,"2,525",8,Wells Fargo Championship
17,Jake Knapp,315.4,"2,523",8,Wells Fargo Championship
18,Grayson Murray,314.9,"2,519",8,Wells Fargo Championship
18,Taylor Pendrith,314.9,"2,519",8,Wells Fargo Championship
20,Adam Scott,313.0,"2,504",8,Wells Fargo Championship
21,Patrick Cantlay,312.6,"2,501",8,Wells Fargo Championship
22,Mackenzie Hughes,312.3,"2,498",8,Wells Fargo Championship
23,Sahith Theegala,311.8,"2,494",8,Wells Fargo Championship
24,Kevin Tway,311.6,"2,493",8,Wells Fargo Championship
25,Eric Cole,311.0,"2,488",8,Wells Fargo Championship
25,Jason Day,311.0,"2,488",8,Wells Fargo Championship
27,Matthew Fitzpatrick,309.5,"2,476",8,Wells Fargo Championship
,Field Average,308.4,,,Wells Fargo Championship
28,Corey Conners,308.3,"2,466",8,Wells Fargo Championship
29,Austin Eckroat,307.5,"2,460",8,Wells Fargo Championship
30,Harris English,307.4,"2,459",8,Wells Fargo Championship
30,Tom Kim,307.4,"2,459",8,Wells Fargo Championship
32,Adam Schenk,307.0,"2,456",8,Wells Fargo Championship
32,Webb Simpson,307.0,"2,456",8,Wells Fargo Championship
34,Adam Svensson,306.8,"2,454",8,Wells Fargo Championship
35,Shane Lowry,306.6,"2,453",8,Wells Fargo Championship
35,Alex Noren,306.6,"2,453",8,Wells Fargo Championship
35,Justin Rose,306.6,"2,453",8,Wells Fargo Championship
38,Lee Hodges,306.4,"2,451",8,Wells Fargo Championship
39,Billy Horschel,305.8,"2,446",8,Wells Fargo Championship
40,Peter Malnati,305.5,"2,444",8,Wells Fargo Championship
41,Keegan Bradley,305.4,"2,443",8,Wells Fargo Championship
42,Chris Kirk,305.1,"2,441",8,Wells Fargo Championship
43,Tommy Fleetwood,305.0,"2,440",8,Wells Fargo Championship
44,Si Woo Kim,304.8,"2,438",8,Wells Fargo Championship
45,Matthieu Pavon,304.5,"2,436",8,Wells Fargo Championship
45,Seamus Power,304.5,"2,436",8,Wells Fargo Championship
47,Cam Davis,304.0,"2,432",8,Wells Fargo Championship
48,Rickie Fowler,303.9,"2,431",8,Wells Fargo Championship
48,Will Zalatoris,303.9,"2,431",8,Wells Fargo Championship
50,Sungjae Im,303.6,"2,429",8,Wells Fargo Championship
51,Tom Hoge,302.3,"2,418",8,Wells Fargo Championship
52,Viktor Hovland,301.1,"2,409",8,Wells Fargo Championship
53,Emiliano Grillo,301.0,"2,408",8,Wells Fargo Championship
53,Brian Harman,301.0,"2,408",8,Wells Fargo Championship
55,Christiaan Bezuidenhout,300.5,"2,404",8,Wells Fargo Championship
56,Collin Morikawa,299.9,"2,399",8,Wells Fargo Championship
57,Akshay Bhatia,299.6,"2,397",8,Wells Fargo Championship
58,Adam Hadwin,298.9,"2,391",8,Wells Fargo Championship
59,Sepp Straka,298.8,"2,390",8,Wells Fargo Championship
60,Denny McCarthy,297.8,"2,382",8,Wells Fargo Championship
61,J.T. Poston,297.4,"2,379",8,Wells Fargo Championship
62,Russell Henley,297.0,"2,376",8,Wells Fargo Championship
63,Ben Kohles,296.6,"2,373",8,Wells Fargo Championship
64,Lucas Glover,295.8,"2,366",8,Wells Fargo Championship
65,Matt Kuchar,295.3,"2,362",8,Wells Fargo Championship
66,Nick Taylor,295.0,"2,360",8,Wells Fargo Championship
67,Andrew Putnam,287.4,"2,299",8,Wells Fargo Championship
68,Brendon Todd,286.9,"2,295",8,Wells Fargo Championship
1,Ryan Fox,313.0,"2,504",8,Myrtle Beach Classic
2,Alejandro Tosti,310.8,"2,486",8,Myrtle Beach Classic
3,Alex Smalley,309.9,"2,479",8,Myrtle Beach Classic
4,Alistair Docherty,307.1,"2,457",8,Myrtle Beach Classic
5,Matt Atkins,306.8,"2,454",8,Myrtle Beach Classic
6,Patrick Fishburn,306.0,"2,448",8,Myrtle Beach Classic
7,Pierceson Coody,305.3,"2,442",8,Myrtle Beach Classic
8,Harry Higgs,305.1,"2,441",8,Myrtle Beach Classic
9,Carl Yuan,304.5,"2,436",8,Myrtle Beach Classic
10,Joseph Bramlett,304.4,"2,435",8,Myrtle Beach Classic
11,Ryan McCormick,304.0,"2,432",8,Myrtle Beach Classic
12,Beau Hossler,303.6,"2,429",8,Myrtle Beach Classic
13,Thorbjørn Olesen,303.5,"2,428",8,Myrtle Beach Classic
14,Davis Riley,303.4,"2,427",8,Myrtle Beach Classic
15,Justin Suh,303.1,"2,425",8,Myrtle Beach Classic
16,Sam Stevens,302.6,"2,421",8,Myrtle Beach Classic
17,Davis Thompson,300.6,"2,405",8,Myrtle Beach Classic
18,Erik van Rooyen,299.9,"2,399",8,Myrtle Beach Classic
19,Paul Barjon,299.8,"2,398",8,Myrtle Beach Classic
20,David Skinns,299.4,"2,395",8,Myrtle Beach Classic
21,J.J. Spaun,299.3,"2,394",8,Myrtle Beach Classic
22,S.H. Kim,299.0,"2,392",8,Myrtle Beach Classic
23,Kevin Yu,298.9,"2,391",8,Myrtle Beach Classic
24,Trace Crowe,298.8,"2,390",8,Myrtle Beach Classic
24,Michael Kim,298.8,"2,390",8,Myrtle Beach Classic
26,Thriston Lawrence,297.8,"2,382",8,Myrtle Beach Classic
27,Austin Smotherman,296.6,"2,373",8,Myrtle Beach Classic
28,Dylan Wu,296.3,"2,370",8,Myrtle Beach Classic
29,Martin Trainer,296.0,"2,368",8,Myrtle Beach Classic
30,Max Greyserman,295.8,"2,366",8,Myrtle Beach Classic
31,Lanto Griffin,294.9,"2,359",8,Myrtle Beach Classic
32,Kevin Streelman,294.1,"2,353",8,Myrtle Beach Classic
33,Adrien Dumont de Chassart,293.6,"2,349",8,Myrtle Beach Classic
33,Ben Griffin,293.6,"2,349",8,Myrtle Beach Classic
33,Sam Ryder,293.6,"2,349",8,Myrtle Beach Classic
36,Harry Hall,293.5,"2,348",8,Myrtle Beach Classic
37,Jacob Bridgeman,293.1,"2,345",8,Myrtle Beach Classic
37,Troy Merritt,293.1,"2,345",8,Myrtle Beach Classic
39,Hayden Buckley,292.5,"2,340",8,Myrtle Beach Classic
,Field Average,292.4,,,Myrtle Beach Classic
40,Andrew Novak,292.4,"2,339",8,Myrtle Beach Classic
41,Parker Coody,292.1,"2,337",8,Myrtle Beach Classic
42,Chesson Hadley,291.9,"2,335",8,Myrtle Beach Classic
43,Robert MacIntyre,290.8,"2,326",8,Myrtle Beach Classic
44,Greyson Sigg,290.4,"2,323",8,Myrtle Beach Classic
45,Scott Piercy,290.0,"2,320",8,Myrtle Beach Classic
46,Chris Gotterup,289.3,"2,314",8,Myrtle Beach Classic
46,S.Y. Noh,289.3,"2,314",8,Myrtle Beach Classic
48,Matt NeSmith,288.9,"2,311",8,Myrtle Beach Classic
49,Daniel Berger,288.8,"2,310",8,Myrtle Beach Classic
50,Ben Silverman,288.0,"2,304",8,Myrtle Beach Classic
51,Zecheng Dou,287.4,"2,299",8,Myrtle Beach Classic
52,Patton Kizzire,287.1,"2,297",8,Myrtle Beach Classic
53,Chandler Phillips,286.9,"2,295",8,Myrtle Beach Classic
54,Joel Dahmen,286.4,"2,291",8,Myrtle Beach Classic
